idcom,latitude,longitude,distance_m,duration_sec
1114,45.15001678466797,6.953706741333008,234730,179215
1115,45.01472473144531,7.297848224639893,291904,222821
1116,45.16239929199219,7.494256973266602,295157,224126
1117,45.10709762573242,7.028908252716065,260610,198137
1118,45.36741638183594,7.230342388153076,339966,255318
1119,45.26813507080078,7.568256378173828,311962,236558
1120,45.05546569824219,7.593244552612305,297697,226301
1121,45.47784805297852,7.587637901306152,347321,262409
1122,44.93350219726563,7.214004993438721,291829,227679
1123,44.90451431274414,7.910736560821533,330190,250650
1124,45.44604110717773,7.737930297851563,346987,262343
1125,45.45391082763672,7.891061782836914,350894,265862
1126,45.18019104003906,7.518150329589844,297626,225951
1127,44.95345687866211,7.675694942474365,312927,237851
1128,45.27540969848633,7.48015308380127,311326,235998
1129,45.15298080444336,7.989420890808106,336219,255127
