idcom,nome,latitude,longitude
1110,Frossasco,44.92609024047852,7.372582912445068
1111,Garzigliana,44.83370208740234,7.367502689361572
1112,Gassino Torinese,45.11772155761719,7.838272094726563
1113,Germagnano,45.25233840942383,7.456448554992676
1114,Giaglione,45.15001678466797,6.953706741333008
1115,Giaveno,45.01472473144531,7.297848224639893
1116,Givoletto,45.16239929199219,7.494256973266602
1117,Gravere,45.10709762573242,7.028908252716065
1118,Groscavallo,45.36741638183594,7.230342388153076
1119,Grosso,45.26813507080078,7.568256378173828
1120,Grugliasco,45.05546569824219,7.593244552612305
1121,Ingria,45.47784805297852,7.587637901306152
1122,Inverso Pinasca,44.93350219726563,7.214004993438721
1123,Isolabella,44.90451431274414,7.910736560821533
1124,Issiglio,45.44604110717773,7.737930297851563
